pdes,popular_name,M1,K1,source_citation,notes,match_confidence,bigv_designation_old,bigv_page,ocr_excerpt
1861 G1,Thatcher's Comet,4.9,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Thatcher); Holetschek H1=5m.1 (m=2m.9 on 4 May) also cited; Big V's synthesis H10=5m.5 also given but C.A.M. preferred per §3.1; D1=7'.2; page-image proofread vs page 209-210: confirmed",high,1861 I,209,"Holetschek adopted for 4 May m=2m.9; therefore H1=5m.1. In C.A.M. H10=4m.9. Taking into consideration all the given estimates, we got H10=5m.5."
1861 J1,Great Comet 1861 (Tebbutt),3.9,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1861 G1 (wrong; that's Thatcher's Comet, entry I); body identifies as Tebbutt's Great Comet of 1861, discovered 13 May from Australia, Earth passed through tail 29-30 June — this is 1861 J1; Holetschek H1=3m.7 to 4m.2 (mid 3.95) also cited; Bobrovnikoff Perkins Obs n=0.82 y=2.05 H=5m.03 cited as in obvious disagreement with Big V's synthesis; Big V's preferred C.A.M. value is 3m.9 — slightly fainter than Holetschek; sanity check: M1=3.9 with r_peri=0.82, Δ_min=0.13 → peak ~mag -1.4 (consistent with reported peak ~0); periodic — N/A; page-image proofread vs page 210-213: confirmed",high,1861 II,210,"Taking for 1 June m=2m, 24 June 0m.5(?); and 2 July 0m.0, Holetschek adopted H1=3m.7 to 4m.2. In C.A.M. H10=3m.9."
1861 Y1,Tuttle's Comet (1861 III),8.8,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Tuttle); only E-II values cited (H10=8m.8, H10av=9m.3, mid 9.05); rapid brightness decrease — at beginning of January H10=8m.5, beginning of February H10=9m.8; chose E-II's stated H10 over H10av per §3.1; page-image proofread vs page 213: confirmed",high,1861 III,213,"In E-II H10=8m.8, H10av=9m.3. A rapid decrease in brightness; at the beginning of January H10=8m.5; at the beginning of February 9m.8."
2P,Encke's Comet,9.7,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1862 N1 (wrong); body explicitly labels this as 'the seventeenth recorded apparition of the Encke-Backlund Comet' = 2P; Holetschek H1 within 11m.7-7m.8; C.A.M. H10=9m.7; periodic — will dedupe with other 2P apparitions; page-image proofread vs page 213: confirmed",high,1862 I,213,"Holetschek, adopting for 4 Oct. m=13m.5(?); in Nov., 12 to 10m.5; in Jan., 6 to 5m; and in March, 9 to 10m; got H1 within 11m.7 to 7m.8. In C.A.M. H10=9m.7. D1=4'.2 to 1'.7."
1862 N1,Schmidt's Comet (1862 II),9.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Schmidt) + body identifies as discovered by Schmidt 2 July; Holetschek H1=10-11m; C.A.M. H10=10m.5; Big V's synthesis 'we get H10=9m.3 to 9m.5' (mid 9.4) preferred over C.A.M. as the synthesis is stated as a refinement based on additional estimates; page-image proofread vs page 214: confirmed",medium,1862 II,214,"Holetschek for 2 July to 7 July took m=5-6m, consequently, H1=10-11m. In C.A.M. H10=10m.5. From the given estimates we get H10=9m.3 to 9m.5."
109P,Swift-Tuttle,4.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Swift, Tuttle); C.A.M. H10=4m.0; Holetschek H1=4m.1 to 4m.4 (mid 4.25); Bobrovnikoff for g variations 0.96-1.08, n=8.9 and 3.5, H8=5m.31 and 5.58 (refers to nucleus); 1862 III orbit identified with Perseids meteor shower; periodic — will dedupe with other 109P apparitions; page-image proofread vs page 215-216: confirmed",high,1862 III,215,"Adopting m=3m.2; 2m.1 for 14 to 18, 19 to 23, and 24 to 28 Aug., Holetschek adopted H1=4m.1 to 4m.4. In C.A.M. H10=4m.0; D1=3'.8 to 6'.5."
1862 W1,Respighi's Comet (1862 IV),6.5,10.0,"Vsekhsvyatskij 1958, other","matched by name (Respighi); E-II adopted m=7m and H10=6m.3 for 1 Dec; Big V's synthesis from discovery m=6-7m and last observations m=9-10m gives H10=6m.5 — preferred as Big V's own consolidated value; page-image proofread vs page 216: confirmed",medium,1862 IV,216,"E-II adopted for 1 Dec. m=7m and H10=6m.3. Considering at discovery m=6-7m and for the last observations m=9-10m, we get H10=6m.5."
1862 X1,Bruhns's Comet (1863 I),8.4,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Bruhns); E-II H10(av)=8m.4±0m.6; after perihelion H10 order of 7m (asymmetric — but E-II's average is the canonical synthesis); D=1' to 1'.5; page-image proofread vs page 217: confirmed; note slight asymmetry — pre-peri average 8m.4, post-peri 7m (BRIGHTER post-peri, unusual)",low,1863 I,217,"E-II, H10(av)=8m.4±0m.6; after perihelion, H10 order of 7m. D=1' to 1'.5."
1863 G1,Klinkerfues's Comet (1863 II),5.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Klinkerfues); Holetschek H1=5 to 6m (mid 5.5) for May; C.A.M. H10=5m; brief photometry; page-image proofread vs page 217: confirmed",high,1863 II,217,"Holetschek, taking for May m=5 to 6m, found H10=5 to 6m. In C.A.M. H10=5m."
7P,Pons-Winnecke,6.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Pons-Winnecke; this entry's surnames Respighi/Backer/Winnecke); Big V's 1863 III (Respighi) is actually 7P/Pons-Winnecke recovery — per body discovery context and orbital identification; Holetschek H1=5.7-6.1 (mid 5.9); C.A.M. H10=6m.8; periodic — will dedupe with other 7P apparitions; page-image proofread vs page 217-218: confirmed",high,1863 III,217,"Holetschek adopted m=4m.5 and 5m for 16 April and 20 April and 21 April; hence H1=5.7 to 6m.1. In C.A.M. H10=6m.8."
