pdes,popular_name,M1,K1,source_citation,notes,match_confidence,bigv_designation_old,bigv_page,ocr_excerpt
4P,Faye's Comet,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Faye); 6th recorded apparition of 4P; Holetschek H1=9.3 to 9.9 (mid 9.6) also cited; Cherednichenko Pub.Kiev Obs.(5) 1953 H10(av)=7.4 ranged 6.6-8.8 also cited; periodic — will dedupe with other 4P apparitions; page-image proofread vs page 257: confirmed",high,1881 I,257,"Holetschek took for October 1880 m=11m.0; February 1881, 12m.0; March, 13m.0. Hence, H1=9m.3 to 9m.9. In C.A.M., H10=8m.0. V.V. Cherednichenko Publ. Kiev Obs. (5) 1953, gave for this apparition H10(av)=7m.4 and in general H10 ranged from 6m.6 to 8m.8."
1881 J1,Swift's Comet (1881 II),8.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Swift) + Roman position 2; brief entry; only E-III H10 cited (E-III falls under 'other' per commission); Kreutz orbit (sungrazer family); page-image proofread vs page 257: confirmed",high,1881 II,257,"In E-III, H10=8m.4 with a probable error of 1 to 2m. 3 May, D1=2'.2."
1881 K1,Tebbutt's Comet (Great Comet 1881),4.1,10.0,"Vsekhsvyatskij 1958, other","matched by name (Tebbutt) + perihelion June 1881; bright naked-eye comet; BIG V FLAGS C.A.M. AS ERRONEOUS — 'C.A.M. gave H10=2m.8 by an error in reduction'; chose Big V's preferred phase synthesis H10=4.1 (June-July, discovery period); Holetschek H1=4.5 also cited; Bobrovnikoff y=10.59, m=2.59; Big V notes Bobrovnikoff disagreement traced to nuclear-only observations; phase-specific H10: June-July=4.1, Aug-Sept=4.2, Oct-Nov=4.8, 14 Feb=3.6; chose June-July (close to peak); page-image proofread vs page 259: confirmed",low,1881 III,259,"Holetschek took m=1m.8 for the period from 22 June to 2 July, deriving H1=4m.5. C.A.M. gave H10=2m.8 by an error in reduction. Bobrovnikoff (Perkins Obs. Contr. 16) obtained H10=5m.59; m=2.59. According to estimates in June and July, H10=4m.1; in Aug. and Sept., H10=4m.2; in Oct. and Nov., H10=4m.8; 14 Feb., H10=3m.6. The disagreement with Bobrovnikoff is due to the fact that he mainly used observations referring to the nucleus of the comet."
1881 N1,Schaeberle's Comet,5.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Schaeberle); discovered 13 July 1881; Holetschek H1=5.5; In C.A.M., H10=5.0; phase-specific H10=6.0 (July-Aug) and 7.0 (Sept-Nov, Feb); page-image proofread vs page 261: confirmed",high,1881 IV,261,"Holetschek, taking for 25 Aug. m=3m.4, found H1=5m.5. In C.A.M., H10=5m.0. According to Schwab's data and Harvard observations, in July and August, H10=6m.0; in Sept. and Oct., H10=6m.0 to 8m.5; 2 Aug., D1=8'; central nebula 5'.8. S=0.24 a.u. (Bredikhin) and 0.10 (Holetschek)."
72P,Denning's Comet,9.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Denning); first apparition of 72P/Denning-Fujikawa; Big V cites C.A.M. H10=9 to 10; took midpoint 9.5; 'From these estimates, H10=9.0±1.0'; periodic — will dedupe with other 72P apparitions; page-image proofread vs page 261: confirmed",medium,1881 V,261,"In C.A.M., H10=9 to 10m. From these estimates, H10=9m.0±1m; D1=2'."
1881 S1,Barnard's Comet (1881 VI),,10.0,"","SKIP — page-image proofread vs page 262: 'Absolute magnitude H10 after E-III. D1=2.0 to 2'.2' — no numeric H10 value cited; entry references E-III but does not quote a value; per commission §3.5 skip when no H10 stated",low,1881 VI,262,"Absolute magnitude H10 after E-III. D1=2.0 to 2'.2; 18 Sept. to 28 Sept., S=0.002."
2P,Encke's Comet,9.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Encke-Backlund); 23rd recorded apparition of 2P/Encke; In C.A.M., H10=9.8; Holetschek H1=11 to 7.1 (mid 9.05); periodic — will dedupe with other 2P apparitions; page-image proofread vs page 263: confirmed",high,1881 VII,263,"Taking for 22 Aug. m=13m; 19 Sept. 10m; 19 Oct., 7m and 3 Nov. to 11 Nov., m=5m, Holetschek got H1=11 to 7m.1. In C.A.M., H10=9m.8."
1881 W1,Swift's Comet (1881 VIII),4.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Swift) + Roman position 8; only E-III H10 cited (E-III → 'other'); brief photometry; popular_name disambiguates from Swift 1881 J1; page-image proofread vs page 263: confirmed",high,1881 VIII,263,"In E-III, H10=4m.7; 25 Nov., D1=4'.7."
1883 D1,Brooks's Comet (1883 I),7.0,10.0,"Vsekhsvyatskij 1958, Holetschek","matched by name (Brooks); only Holetschek H1=7.0 cited (no separate C.A.M. or H10 value); H1 used as proxy for H10 (n=4 case); page-image proofread vs page 269: confirmed",medium,1883 I,269,"H1=7m.0 (with good certainty). 26 Feb., D1=4'.7; at the end of March, D1=7'.2."
1884 A1,Ross's Comet (1883 II),7.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Ross); In C.A.M., H10=7.0; Holetschek H1=6.5; brief entry; page-image proofread vs page 269: confirmed",high,1883 II,269,"Holetschek took m=6m on 19 Jan. and obtained H1=6m.5. In C.A.M., H10=7m.0; D1=2'; S=0.03."
12P,Pons-Brooks Comet,4.9,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); SECOND recorded apparition of 12P/Pons-Brooks (first since 1812); In C.A.M., H10=4.9; Holetschek H1 ranged 3.7-6.3 across months (avg H1=4.3 to 4.5); Bobrovnikoff non-standard fits y=2.5 H0=5.35, y=10.5 H0=4.64; periodic — will dedupe with other 12P apparitions; page-image proofread vs page 271: confirmed",high,1884 I,271,"From numerous estimates, Holetschek obtained for September-October, H1=3m.7 to 6m.3; in Nov., 5m.1 to 6m.4; in Dec. 1883, 5m.4 to 4m.0; in January 1884, 5m.0 to 3m.7; in Feb., 5m.2 to 5m.9; in July, to 6m.5. Average H1=4m.3 to 4m.5. In C.A.M., H10=4m.9."
14P,Wolf's Comet,6.2,10.0,"Vsekhsvyatskij 1958, other","matched by name (Wolf); FIRST recorded apparition of 14P/Wolf; no C.A.M. cited; Vsekhsvyatskii MNRAS 1930 H10(av)=7.6, max=5.9, min=9.9; later Vsekhsvyatskii A.Zh. 27:515 1950 reappraisal H10(av)=6.18, max=4.7, min=8.2; took 1950 reappraisal as most recent; periodic — will dedupe with other 14P apparitions; page-image proofread vs page 273: confirmed",medium,1884 III,273,"S.K. Vsekhsvyatskii, M.N., 90: 713. 1930, obtained 7m.6 for the average absolute magnitude. The maximum estimates give Hmax=5m.9 the minimum estimates (the nucleus?) give Hmin=9m.9. ... S.K. Vsekhsvyatskii, having reappraised the brightness estimates ... A. Zh., 27:515. 1950, gave for 1884 H10(av)=6m.18; H10(max)=4m.7; H10(min)=8m.2."
2P,Encke's Comet,9.7,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 9P, body identifies as 'twenty-fourth recorded apparition of the Comet Encke-Backlund' = 2P/Encke; matched by name (Encke); In C.A.M., H10=9.7; Holetschek H1=7.8 to 10.2 (mid 9.0); periodic — will dedupe with other 2P apparitions; page-image proofread vs page 274: confirmed",high,1885 I,274,"Holetschek took: 3 Jan., m=12m; 2 Feb., 8m.5; 21 Feb., 9m; 2 March, 5m; 27 March, 7m; 22 April, 10m.5 and obtained H1=7m.8 to 10m.2. In C.A.M., H10=9m.7."
1885 N1,Barnard's Comet (1885 II),5.2,10.0,"Vsekhsvyatskij 1958, other","matched by name (Barnard); references list says E-II but in-line citation reads 'In E-III, H10=5.2'; per Barnard 1882 III precedent (different reference, three I's), used 'other'; orbit q=2.5 large perihelion distance; page-image proofread vs page 275: confirmed",high,1885 II,275,"In E-III, H10=5m.2; 15 June, D1=2'.4; in July, 1'.8; S=0.002."
1885 R1,Brooks's Comet (1885 III),5.5,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 9P, but Big V 1885 III is paren-id 1885e (Brooks/Common Aug 31 disc); 274-year period orbit (Klumpke); matches C/1885 R1 (Brooks, peri Aug 10); SCRIPT SEGMENTATION ALSO ERRORED — Big V Roman is III not II (header reads '1885 III (1885e)'); only E-III H10 cited; page-image proofread vs page 276: confirmed",low,1885 III,276,"In E-III, H10=5m.5; 6 Sept., D1=4'.3 and 5 Sept., 3'.2 (maximum values); D1(min)=2'.1."
